Diepte[m];Maaiveld[m];Conuswaarden[MN/m²];Phi'[°];C[-];qb[MN/m²];
0,0;+0,00;0,00;0,0;0,0;0,00;
0,2;-0,20;1,43;35,7;683,3;0,40;
0,4;-0,40;3,23;36,3;771,7;0,47;
0,6;-0,60;10,84;39,9;1726,6;1,09;
0,8;-0,80;15,24;40,2;1820,5;1,50;
1,0;-1,00;16,44;39,5;1571,1;1,92;
1,2;-1,20;18,44;39,2;1468,5;2,37;
1,4;-1,40;20,04;38,9;1368,0;2,86;
1,6;-1,60;17,26;37,7;1030,9;3,38;
1,8;-1,80;20,46;37,9;1086,3;3,91;
2,0;-2,00;22,46;37,8;1073,2;4,49;
2,2;-2,20;17,06;36,1;741,1;5,16;
2,4;-2,40;16,06;35,4;639,5;5,96;
2,6;-2,60;22,47;36,6;825,9;6,86;
2,8;-2,80;23,67;36,5;807,9;7,85;
3,0;-3,00;27,27;36,9;868,7;8,87;
3,2;-3,20;26,07;36,4;778,6;9,93;
3,4;-3,40;22,47;35,4;631,6;11,00;
3,6;-3,60;20,08;34,5;533,0;12,19;
3,8;-3,80;21,68;34,7;545,2;13,50;
4,0;-4,00;23,28;34,7;556,2;14,92;
4,2;-4,20;28,48;35,5;648,0;16,26;
4,4;-4,40;31,28;35,7;679,4;17,12;
4,6;-4,60;31,50;35,5;654,4;17,49;
4,8;-4,80;29,30;35,0;583,3;17,43;
5,0;-5,00;24,50;33,9;468,3;17,30;
5,2;-5,20;22,30;33,3;415,8;17,11;
5,4;-5,40;24,50;33,7;446,0;16,85;
5,6;-5,60;25,31;33,7;450,0;16,51;
5,8;-5,80;26,91;33,9;467,6;16,09;
6,0;-6,00;24,31;33,3;413,0;15,63;
6,2;-6,20;20,51;32,3;340,9;15,21;
6,4;-6,40;18,51;31,7;301,1;14,80;
6,6;-6,60;24,93;33,1;397,1;14,38;
6,8;-6,80;26,53;33,3;413,9;13,88;
7,0;-7,00;22,33;32,3;341,4;13,29;
7,2;-7,20;23,73;32,5;355,7;12,58;
7,4;-7,40;27,53;33,2;404,8;11,73;
7,6;-7,60;32,54;33,9;469,4;10,74;
7,8;-7,80;30,94;33,6;438,0;9,62;
8,0;-8,00;28,34;33,0;393,9;8,74;
8,2;-8,20;11,34;27,5;154,8;8,46;
8,4;-8,40;8,14;24,9;109,2;8,61;
8,6;-8,60;14,55;29,0;191,8;8,80;
8,8;-8,80;31,35;33,2;406,2;8,70;
9,0;-9,00;30,55;33,0;389,3;8,49;
9,2;-9,20;26,95;32,2;337,8;8,18;
9,4;-9,40;19,55;30,5;241,1;7,77;
9,6;-9,60;21,37;30,9;259,3;7,22;
9,8;-9,80;22,57;31,1;269,6;6,54;
10,0;-10,00;18,57;29,9;218,4;6,20;
10,2;-10,20;5,77;20,8;66,8;6,44;
10,4;-10,40;10,37;25,5;118,3;7,24;
10,6;-10,60;16,58;28,8;186,4;8,21;
10,8;-10,80;16,18;28,6;179,3;8,82;
11,0;-11,00;18,58;29,4;202,9;9,11;
11,2;-11,20;17,38;28,9;187,1;9,01;
11,4;-11,40;20,18;29,8;214,3;8,79;
11,6;-11,60;26,60;31,2;278,6;8,40;
11,8;-11,80;31,80;32,1;328,5;7,81;
12,0;-12,00;29,40;31,6;299,7;7,02;
12,2;-12,20;23,80;30,4;239,4;6,05;
12,4;-12,40;25,00;30,6;248,2;4,90;
12,6;-12,60;25,41;30,7;249,1;3,67;
12,8;-12,80;16,21;27,6;156,9;2,68;
13,0;-13,00;6,41;20,0;61,3;2,43;
13,2;-13,20;2,01;7,6;19,0;3,42;
13,4;-13,40;11,01;24,4;102,7;5,41;
13,6;-13,60;29,02;31,0;267,3;7,90;
13,8;-13,80;32,62;31,6;296,9;10,17;
14,0;-14,00;32,62;31,5;293,4;12,29;
14,2;-14,20;29,02;30,8;258,0;13,70;
14,4;-14,40;34,62;31,7;304,2;14,45;
14,6;-14,60;30,64;31,0;266,2;14,39;
14,8;-14,80;26,64;30,2;228,8;14,16;
15,0;-15,00;18,64;27,7;158,3;13,95;
15,2;-15,20;14,64;25,8;123,0;13,78;
15,4;-15,40;19,04;27,7;158,2;13,65;
15,6;-15,60;18,65;27,4;153,3;13,46;
15,8;-15,80;19,45;27,7;158,2;13,21;
16,0;-16,00;20,65;28,0;166,2;12,90;
16,2;-16,20;18,65;27,2;148,5;12,52;
16,4;-16,40;17,05;26,5;134,4;12,11;
16,6;-16,60;16,67;26,2;130,0;11,65;
16,8;-16,80;17,47;26,5;134,9;11,22;
17,0;-17,00;14,67;25,1;112,2;10,93;
17,2;-17,20;11,07;22,7;83,8;10,78;
17,4;-17,40;15,47;25,3;116,0;10,70;
17,6;-17,60;17,48;26,2;129,7;10,57;
17,8;-17,80;15,48;25,2;113,8;10,39;
18,0;-18,00;13,08;23,8;95,2;10,22;
18,2;-18,20;11,08;22,3;79,9;10,09;
18,4;-18,40;11,08;22,3;79,2;9,99;
18,6;-18,60;12,29;23,1;87,0;9,89;
18,8;-18,80;10,69;21,8;75,0;9,80;
19,0;-19,00;10,29;21,4;71,5;9,74;
19,2;-19,20;10,69;21,7;73,6;9,68;
19,4;-19,40;11,29;22,0;77,1;9,60;
19,6;-19,60;10,71;21,5;72,5;9,54;
19,8;-19,80;9,51;20,4;63,8;9,52;
20,0;-20,00;9,51;20,3;63,2;9,53;
20,2;-20,20;9,91;20,6;65,3;9,53;
20,4;-20,40;10,91;21,4;71,3;9,53;
20,6;-20,60;9,52;20,1;61,7;9,54;
20,8;-20,80;9,52;20,0;61,2;9,56;
21,0;-21,00;9,92;20,3;63,2;9,58;
21,2;-21,20;9,92;20,2;62,7;9,57;
21,4;-21,40;9,92;20,2;62,2;9,56;
21,6;-21,60;9,94;20,1;61,8;9,55;
21,8;-21,80;9,54;19,7;58,8;9,54;
22,0;-22,00;9,94;20,0;60,8;9,57;
22,2;-22,20;9,54;19,5;57,9;9,70;
22,4;-22,40;9,94;19,8;59,8;9,83;
22,6;-22,60;15,55;23,6;92,9;9,91;
22,8;-22,80;15,55;23,5;92,2;9,84;
23,0;-23,00;11,55;21,0;67,9;9,74;
23,2;-23,20;11,95;21,2;69,7;9,62;
23,4;-23,40;12,35;21,4;71,5;9,51;
23,6;-23,60;9,96;19,4;57,3;9,42;
23,8;-23,80;11,96;21,0;68,2;9,38;
24,0;-24,00;9,56;18,9;54,1;9,32;
24,2;-24,20;16,76;23,7;94,2;9,26;
24,4;-24,40;9,96;19,2;55,6;9,24;
24,6;-24,60;9,18;18,3;50,9;9,40;
24,8;-24,80;9,98;19,0;54,9;9,69;
25,0;-25,00;13,78;21,8;75,3;9,94;
25,2;-25,20;13,58;21,7;73,6;10,04;
25,4;-25,40;11,78;20,4;63,4;10,02;
25,6;-25,60;10,79;19,5;57,7;9,98;
25,8;-25,80;11,19;19,8;59,4;9,95;
26,0;-26,00;9,99;18,7;52,7;9,93;
26,2;-26,20;11,19;19,6;58,6;9,91;
26,4;-26,40;11,99;20,2;62,4;9,87;
26,6;-26,60;11,21;19,5;57,9;9,82;
26,8;-26,80;10,41;18,8;53,4;9,76;
27,0;-27,00;10,41;18,7;53,1;9,69;
27,2;-27,20;12,01;20,0;60,8;9,67;
27,4;-27,40;9,61;17,9;48,3;9,67;
27,6;-27,60;10,82;18,9;54,1;9,68;
27,8;-27,80;11,62;19,5;57,7;9,66;
28,0;-28,00;11,62;19,4;57,3;9,68;
28,2;-28,20;9,62;17,6;47,1;9,81;
28,4;-28,40;10,82;18,7;52,7;10,01;
28,6;-28,60;12,63;20,0;61,1;10,17;
28,8;-28,80;11,63;19,2;55,9;10,23;
29,0;-29,00;10,83;18,5;51,7;10,27;
29,2;-29,20;10,23;17,9;48,6;10,35;
29,4;-29,40;11,23;18,7;53,0;10,52;
29,6;-29,60;11,25;18,7;52,8;10,67;
29,8;-29,80;13,25;20,1;61,8;10,79;
30,0;-30,00;10,85;18,2;50,3;10,82;
