,z [m],Soil type,Tertiary clay,Total unit weight [kN/m3],Water unit weight [kN/m3],Effective unit weight [kN/m3],Hydrostatic pressure [kPa],Effective vertical stress [kPa],Total vertical stress [kPa],qc [MPa],phi [deg],h/d [-],h/D [-],beta_c [rad],beta_p [rad],qp [MPa],A qp [MPa],"qp,j+1 [MPa]","qp,q+1 [MPa]",qb [MPa]
0,0.0,Sand,False,19.62,10.0,9.620000000000001,0.0,0.0,0.0,,45.0,0.0,0.0,0.0,0.0,,,0.0,,
1,0.2,Sand,False,19.62,10.0,9.620000000000001,2.0,1.9240000000000004,3.9240000000000004,,,5.602240896358543,0.25,1.4286309367843356e-12,1.4286309367843356e-12,,,,,
2,0.4,Sand,False,19.62,10.0,9.620000000000001,4.0,3.8480000000000008,7.848000000000001,,,11.204481792717086,0.5,1.4286309367843356e-12,1.4286309367843356e-12,,,,,
3,0.6000000000000001,Sand,False,19.62,10.0,9.620000000000001,6.000000000000001,5.772000000000001,11.772000000000002,,,16.80672268907563,0.7500000000000001,1.4286309367843356e-12,1.4286309367843356e-12,,,,,
4,0.8,Sand,False,19.62,10.0,9.620000000000001,8.0,7.6960000000000015,15.696000000000002,3.0,34.98992409022463,22.408963585434172,1.0,1.5707963267948966,0.2801090958658072,0.4925254585926535,1.6641320816936964,1.6641320816936964,0.5878764233030114,0.49830013785590815
5,1.0,Sand,False,19.62,10.0,9.620000000000001,10.0,9.620000000000001,19.62,2.5,32.97916093760841,28.011204481792713,1.25,1.5707963267948966,0.3760740596705008,0.5303609814200528,1.562586339452511,1.562586339452511,0.5376051593954523,0.45681131843711514
6,1.2000000000000002,Sand,False,19.62,10.0,9.620000000000001,12.000000000000002,11.544000000000002,23.544000000000004,1.5,29.344269249532573,33.61344537815126,1.5000000000000002,1.5707963267948966,0.5247185454680676,0.4626778243416564,1.224635723812305,1.224635723812305,0.4897288959805145,0.4152713582002563
7,1.4000000000000001,Sand,False,19.62,10.0,9.620000000000001,14.000000000000002,13.468000000000004,27.468000000000004,1.2999999999999998,27.70966355287567,39.21568627450981,1.75,1.5707963267948966,0.6458917732367098,0.4920350867892888,1.1942991705111439,1.1942991705111439,0.45540183363118186,0.3717391125548056
8,1.6,Sand,False,19.62,10.0,9.620000000000001,16.0,15.392000000000003,31.392000000000003,7.0,35.73265443984595,44.817927170868344,2.0,1.5707963267948966,0.47575475017802044,1.4481433583273635,3.271863853910827,1.2870104945078547,0.4208883769693807,0.3310745862584027
9,1.8,Sand,False,19.62,10.0,9.620000000000001,18.0,17.316000000000003,35.316,15.0,38.70300065981664,50.42016806722689,2.25,1.5707963267948966,0.44023038398692954,2.4506358887497903,5.211981915244651,1.462162344158234,0.3804323262090464,0.2949967045893293
10,2.0,Clay,False,19.62,10.0,9.620000000000001,20.0,19.240000000000002,39.24,7.5,34.98992409022463,56.02240896358543,2.5,1.5707963267948966,0.5900157367228397,1.9001201417882019,3.8372440905259935,1.5681503670898953,0.32990535821115813,0.27363779918440007
11,2.2,Clay,False,19.62,10.0,9.620000000000001,22.0,21.164000000000005,43.16400000000001,0.7,21.45470159245663,61.62464985994398,2.75,1.5707963267948966,1.3903776821144032,0.6074514110104158,0.7,0.7,0.2720676677532608,0.24115902945165582
12,2.4000000000000004,Clay,False,19.62,10.0,9.620000000000001,24.000000000000004,23.088000000000005,47.08800000000001,0.5,18.83463321537435,67.22689075630252,3.0000000000000004,1.5707963267948966,1.5707963267948966,0.5,0.5,0.5,0.2520792021491674,0.2276379959010037
13,2.6,Clay,False,19.62,10.0,9.620000000000001,26.0,25.012000000000004,51.012,0.7,20.430318228328776,72.82913165266106,3.25,1.5707963267948966,1.5707963267948966,0.7,0.7,0.508925,0.24049896862401404,0.21722215547117033
14,2.8000000000000003,Clay,False,19.62,10.0,9.620000000000001,28.000000000000004,26.936000000000007,54.93600000000001,1.2999999999999974,23.724616943168485,78.43137254901961,3.5,1.5707963267948966,1.5654256366339028,1.2938776280164044,1.2999999999999974,0.5442267218749999,0.22796094779433632,0.2117998617463676
15,3.0,Clay,False,19.62,10.0,9.620000000000001,30.0,28.860000000000003,58.86,0.4,15.993154962148637,84.03361344537815,3.75,1.5707963267948966,1.5707963267948966,0.4,0.4,0.4,0.2131883609375004,0.20775959023437543
16,3.2,Clay,False,19.62,10.0,9.620000000000001,32.0,30.784000000000006,62.784000000000006,0.3,13.69888368825964,89.63585434173669,4.0,1.5707963267948966,1.5707963267948966,0.3,0.3,0.3,0.20446250000000044,0.20446250000000044
17,3.4000000000000004,Clay,False,19.62,10.0,9.620000000000001,34.0,32.708000000000006,66.70800000000001,0.20000000000000046,10.601633634899526,95.23809523809524,4.25,1.5707963267948966,1.5707963267948966,0.20000000000000046,0.20000000000000046,0.20000000000000046,0.20000000000000046,0.20000000000000046
18,3.6,Clay,False,19.62,10.0,9.620000000000001,36.0,34.632000000000005,70.632,0.5,16.256797104954618,100.84033613445378,4.5,1.5707963267948966,1.5707963267948966,0.5,0.5,0.21338750000000042,0.21338750000000042,0.21338750000000042
19,3.8000000000000003,Clay,False,19.62,10.0,9.620000000000001,38.0,36.55600000000001,74.55600000000001,0.30000000000000043,12.56410488059984,106.44257703081233,4.75,1.5707963267948966,1.5707963267948966,0.30000000000000043,0.30000000000000043,0.21725258281250043,0.21725258281250043,0.21725258281250043
20,4.0,Clay,False,19.62,10.0,9.620000000000001,40.0,38.480000000000004,78.48,1.1,20.56089007251031,112.04481792717085,5.0,1.5707963267948966,1.5707963267948966,1.1,1.1,0.2566451863044926,0.2566451863044926,0.2566451863044926
21,4.2,Clay,False,19.62,10.0,9.620000000000001,42.0,40.40400000000001,82.40400000000001,0.6,16.437744229824382,117.6470588235294,5.25,1.5707963267948966,1.5707963267948966,0.6,0.6,0.27196739486565463,0.27196739486565463,0.27196739486565463
22,4.4,Clay,False,19.62,10.0,9.620000000000001,44.0,42.328,86.328,1.6,22.264413076003596,123.24929971988796,5.5,1.5707963267948966,1.5707963267948966,1.6,1.6,0.3312308498697748,0.3312308498697748,0.3312308498697748
23,4.6000000000000005,Clay,False,19.62,10.0,9.620000000000001,46.00000000000001,44.25200000000001,90.25200000000001,1.2000000000000008,20.235563341868552,128.8515406162465,5.75,1.5707963267948966,1.5707963267948966,1.2000000000000008,1.2000000000000008,0.36999967319433613,0.36999967319433613,0.36999967319433613
24,4.800000000000001,Clay,False,19.62,10.0,9.620000000000001,48.00000000000001,46.176000000000016,94.17600000000002,0.6000000000000009,15.575938810226663,134.45378151260505,6.000000000000001,1.5707963267948966,1.5707963267948966,0.6000000000000009,0.6000000000000009,0.38026343777803895,0.38026343777803895,0.38026343777803895
25,5.0,Clay,False,19.62,10.0,9.620000000000001,50.0,48.10000000000001,98.1,1.1,19.175808214464915,140.05602240896357,6.25,1.5707963267948966,1.5707963267948966,1.1,1.1,0.412381681867194,0.412381681867194,0.412381681867194
26,5.2,Clay,False,19.62,10.0,9.620000000000001,52.0,50.02400000000001,102.024,1.1,18.930400510392086,145.65826330532212,6.5,1.5707963267948966,1.5707963267948966,1.1,1.1,0.44306664931387046,0.44306664931387046,0.44293620696942126
27,5.4,Clay,False,19.62,10.0,9.620000000000001,54.0,51.94800000000001,105.94800000000001,1.8,21.737590454394883,151.26050420168067,6.75,1.5707963267948966,1.5707963267948966,1.8,1.8,0.503619800088239,0.4483989941363451,0.4403368498542896
28,5.6000000000000005,Clay,False,19.62,10.0,9.620000000000001,56.00000000000001,53.872000000000014,109.87200000000001,1.3000000000000018,19.511670401834138,156.86274509803923,7.0,1.5707963267948966,1.5707963267948966,1.3000000000000018,1.3000000000000018,0.5391582665093014,0.44581966301965975,0.43534360826597246
29,5.800000000000001,Clay,False,19.62,10.0,9.620000000000001,58.00000000000001,55.796000000000014,113.79600000000002,0.9999999999999964,17.639485568035727,162.46498599439778,7.250000000000001,1.5707963267948966,1.5707963267948966,0.9999999999999964,0.9999999999999964,0.5597233288663237,0.44145987217237437,0.4293818335023625
30,6.0,Clay,False,19.62,10.0,9.620000000000001,60.0,57.720000000000006,117.72,0.6,14.122312943253728,168.0672268907563,7.5,1.5707963267948966,1.5707963267948966,0.6,0.6,0.561520675315664,0.43593585620485636,0.42636232383485956
31,6.2,Clay,False,19.62,10.0,9.620000000000001,62.0,59.644000000000005,121.644,0.8,15.781359289165023,173.66946778711483,7.75,1.5707963267948966,1.5707963267948966,0.8,0.8,0.5721628151797025,0.4300698637382126,0.41554374457775706
32,6.4,Clay,False,19.62,10.0,9.620000000000001,64.0,61.56800000000001,125.56800000000001,0.8,15.575938810226654,179.27170868347338,8.0,1.5707963267948966,1.5707963267948966,0.8,0.8,0.5823300495523083,0.42343278619475955,0.41131477183011456
33,6.6000000000000005,Clay,False,19.62,10.0,9.620000000000001,66.0,63.49200000000001,129.49200000000002,0.6000000000000026,13.496446400421453,184.87394957983193,8.25,1.5707963267948966,1.5707963267948966,0.6000000000000026,0.6000000000000026,0.5831185710910366,0.4160107892016096,0.41547355896616267
34,6.800000000000001,Clay,False,19.62,10.0,9.620000000000001,68.0,65.41600000000001,133.41600000000003,0.6000000000000009,13.29970599134012,190.47619047619048,8.5,1.5707963267948966,1.5707963267948966,0.6000000000000009,0.6000000000000009,0.5838719048560991,0.40820528375420345,0.40820528375420345
35,7.0,Clay,False,19.62,10.0,9.620000000000001,70.0,67.34,137.34,0.4,10.407054222445272,196.078431372549,8.75,1.5707963267948966,1.5707963267948966,0.4,0.4,0.4,0.4,0.4
36,7.2,Clay,False,19.62,10.0,9.620000000000001,72.0,69.26400000000001,141.264,0.6,12.92212252823654,201.68067226890756,9.0,1.5707963267948966,1.5707963267948966,0.6,0.6,0.40892500000000004,0.40892500000000004,0.40892500000000004
37,7.4,Clay,False,19.62,10.0,9.620000000000001,74.0,71.18800000000002,145.18800000000002,1.2,17.24937045164566,207.2829131652661,9.25,1.5707963267948966,1.5707963267948966,1.2,1.2,0.444226721875,0.444226721875,0.444226721875
38,7.6000000000000005,Clay,False,19.62,10.0,9.620000000000001,76.0,73.11200000000002,149.11200000000002,1.5999999999999983,18.900657038917377,212.88515406162466,9.5,1.5707963267948966,1.5707963267948966,1.5999999999999983,1.5999999999999983,0.4958031044113281,0.4958031044113281,0.4958031044113281
39,7.800000000000001,Clay,False,19.62,10.0,9.620000000000001,78.0,75.03600000000002,153.03600000000003,1.4999999999999982,18.330819165127025,218.48739495798318,9.75,1.5707963267948966,1.5707963267948966,1.4999999999999982,1.4999999999999982,0.5406153908769725,0.5406153908769725,0.5406153908769725
40,8.0,Clay,False,19.62,10.0,9.620000000000001,80.0,76.96000000000001,156.96,2.0,19.971888319605416,224.0896358543417,10.0,1.5707963267948966,1.5707963267948966,2.0,2.0,0.6057404290590876,0.6057404290590876,0.6057404290590876
41,8.200000000000001,Clay,False,19.62,10.0,9.620000000000001,82.00000000000001,78.88400000000001,160.88400000000004,2.0999999999999983,20.121516242309752,229.6918767507003,10.25,1.5707963267948966,1.5707963267948966,2.0999999999999983,2.0999999999999983,0.6724217624123258,0.6724217624123258,0.6724217624123258
42,8.4,Clay,False,19.62,10.0,9.620000000000001,84.0,80.80800000000002,164.80800000000002,2.4,20.795897383953413,235.2941176470588,10.5,1.5707963267948966,1.5707963267948966,2.4,2.4,0.7495149412646758,0.7495149412646758,0.7495149412646758
43,8.6,Sand,False,19.62,10.0,9.620000000000001,86.0,82.73200000000001,168.732,4.0,23.735058426955234,240.89635854341734,10.749999999999998,1.5707963267948966,1.5707963267948966,4.0,4.0,0.8945678370107396,0.8945678370107396,0.8945678370107396
44,8.8,Sand,False,19.62,10.0,9.620000000000001,88.0,84.65600000000002,172.65600000000003,8.5,27.928950327277324,246.49859943977592,11.0,1.5707963267948966,1.5707963267948966,8.5,8.5,1.2339602472841353,1.2339602472841353,1.2339602472841353
45,9.0,Sand,False,19.62,10.0,9.620000000000001,90.0,86.58000000000001,176.58,2.2,19.832629154224275,252.10084033613444,11.25,1.5707963267948966,1.5707963267948966,2.2,2.2,1.2770697712490808,1.2770697712490808,1.2770697712490808
46,9.200000000000001,Sand,False,19.62,10.0,9.620000000000001,92.00000000000001,88.50400000000002,180.50400000000002,3.199999999999977,21.995355294189974,257.703081232493,11.5,1.5707963267948966,1.5707963267948966,3.199999999999977,3.199999999999977,1.3628805327070896,1.3628805327070896,1.3628805327070896
47,9.4,Sand,False,19.62,10.0,9.620000000000001,94.0,90.42800000000001,184.42800000000003,6.5,26.043247454965478,263.3053221288515,11.75,1.5707963267948966,1.5707963267948966,6.5,6.5,1.5921244889350357,1.5921244889350357,1.5921244889350357
48,9.600000000000001,Sand,False,19.62,10.0,9.620000000000001,96.00000000000001,92.35200000000002,188.35200000000003,2.499999999999993,20.22473942732707,268.9075630252101,12.000000000000002,1.5707963267948966,1.5707963267948966,2.499999999999993,2.499999999999993,1.6326384336163093,1.6326384336163093,1.6326384336163093
49,9.8,Sand,False,19.62,10.0,9.620000000000001,98.0,94.27600000000001,192.276,2.5,20.09772410362629,274.5098039215686,12.25,1.5707963267948966,1.5707963267948966,2.5,2.5,1.6713444435161815,1.6713444435161815,1.6713444435161815
50,10.0,Sand,False,19.62,10.0,9.620000000000001,100.0,96.20000000000002,196.20000000000002,6.5,25.688640337980072,280.11204481792714,12.5,1.5707963267948966,1.5707963267948966,6.5,6.5,1.886823197724272,1.886823197724272,1.886823197724272
51,10.200000000000001,Sand,False,19.62,10.0,9.620000000000001,102.00000000000001,98.12400000000002,200.12400000000002,6.500000000000018,25.57406014258827,285.7142857142857,12.75,1.5707963267948966,1.5707963267948966,6.500000000000018,6.500000000000018,2.092686212525827,2.092686212525827,2.092686212525827
52,10.4,Sand,False,19.62,10.0,9.620000000000001,104.0,100.04800000000002,204.048,9.0,27.315524542923544,291.31652661064425,13.0,1.5707963267948966,1.5707963267948966,9.0,9.0,2.400925090291862,2.400925090291862,2.400925090291862
53,10.600000000000001,Sand,False,19.62,10.0,9.620000000000001,106.00000000000001,101.97200000000002,207.97200000000004,11.499999999999991,28.570452047473648,296.9187675070028,13.250000000000002,1.5707963267948966,1.5707963267948966,11.499999999999991,11.499999999999991,2.8069713081375873,2.7632550016745165,2.7341629197412463
54,10.8,Sand,False,19.62,10.0,9.620000000000001,108.0,103.89600000000002,211.89600000000002,11.0,28.22213809314411,302.52100840336135,13.5,1.5707963267948966,1.5707963267948966,11.0,11.0,3.1725852135119474,2.7612130389102463,2.7113574552461914
55,11.0,Sand,False,19.62,10.0,9.620000000000001,110.0,105.82000000000001,215.82000000000002,5.0,23.598514070229303,308.1232492997199,13.75,1.5707963267948966,1.5707963267948966,5.0,5.0,3.254133598358977,2.7419980884545603,2.6800712825265145
56,11.200000000000001,Sand,False,19.62,10.0,9.620000000000001,112.00000000000001,107.74400000000001,219.74400000000003,6.4999999999999964,25.032768285366195,313.72549019607845,14.0,1.5707963267948966,1.5707963267948966,6.4999999999999964,6.4999999999999964,3.3989803865322075,2.718076542329233,2.6408645106456228
57,11.4,Sand,False,19.62,10.0,9.620000000000001,114.0,109.668,223.668,5.2,23.619312684158597,319.327731092437,14.25,1.5707963267948966,1.5707963267948966,5.2,5.2,3.479350886783208,2.686271927337677,2.59115412796101
58,11.600000000000001,Sand,False,19.62,10.0,9.620000000000001,116.00000000000001,111.59200000000001,227.59200000000004,6.2000000000000055,24.55283146443751,324.92997198879556,14.500000000000002,1.5707963267948966,1.5707963267948966,6.2000000000000055,6.2000000000000055,3.6007598534605076,2.6492276791992424,2.5293774326775242
59,11.8,Sand,False,19.62,10.0,9.620000000000001,118.0,113.51600000000002,231.51600000000002,9.5,26.90887435533175,330.5322128851541,14.75,1.5707963267948966,1.5707963267948966,9.5,9.5,3.8640134449998325,2.604782175311859,2.45444682964213
60,12.0,Sand,False,19.62,10.0,9.620000000000001,120.0,115.44,235.44,11.0,27.63684471435997,336.1344537815126,15.0,1.5707963267948966,1.5707963267948966,11.0,11.0,4.1824568450167146,2.545964229050102,2.383496866179344
61,12.200000000000001,Sand,False,19.62,10.0,9.620000000000001,122.00000000000001,117.36400000000002,239.36400000000003,9.999999999999991,27.009304311334024,341.7366946778711,15.25,1.5707963267948966,1.5707963267948966,9.999999999999991,9.999999999999991,4.442064708307843,2.469524628906169,2.3219753238884504
62,12.4,Sand,False,19.62,10.0,9.620000000000001,124.0,119.28800000000001,243.288,7.5,25.272770023755037,347.33893557422965,15.5,1.5707963267948966,1.5707963267948966,7.5,7.5,4.578525070699605,2.3773884509202476,2.2730056422067872
63,12.600000000000001,Sand,False,19.62,10.0,9.620000000000001,126.00000000000001,121.21200000000002,247.21200000000005,2.799999999999991,19.238915365848584,352.94117647058823,15.750000000000002,1.5707963267948966,1.5707963267948966,2.799999999999991,2.799999999999991,2.799999999999991,2.2745746640222717,2.237527952022737
64,12.8,Sand,False,19.62,10.0,9.620000000000001,128.0,123.13600000000002,251.13600000000002,2.5,18.428609884005017,358.54341736694676,16.0,1.5707963267948966,1.5707963267948966,2.5,2.5,2.5,2.2500323579979296,2.2500323579979296
65,13.0,Sand,False,19.62,10.0,9.620000000000001,130.0,125.06,255.06,3.2,19.876413254033977,364.1456582633053,16.25,1.5707963267948966,1.5707963267948966,3.2,3.2,2.5312375,2.238356517595635,2.238356517595635
66,13.200000000000001,Sand,False,19.62,10.0,9.620000000000001,132.0,126.98400000000001,258.98400000000004,7.499999999999952,24.91022765060881,369.74789915966386,16.5,1.5707963267948966,1.5707963267948966,7.499999999999952,7.499999999999952,2.7529685265624977,2.2246762204978516,2.2246762204978516
67,13.4,Sand,False,19.62,10.0,9.620000000000001,134.0,128.90800000000002,262.908,2.2,17.327909009366866,375.3501400560224,16.75,1.5707963267948966,1.5707963267948966,2.2,2.2,2.2,2.2,2.2
68,13.600000000000001,Sand,False,19.62,10.0,9.620000000000001,136.0,130.83200000000002,266.83200000000005,12.5,27.651836828172026,380.95238095238096,17.0,1.5707963267948966,1.5707963267948966,12.5,12.5,2.6596375,2.6596375,2.6596375
